id_persona,region,sexo,edad,educacion_anios,experiencia_anios,ingreso_mensual,formal,sector
1,Cusco,Hombre,47,12.0,28,3346.26,No,Manufactura
2,Loreto,Hombre,49,16.0,26,3539.82,Si,Manufactura
3,Puno,Mujer,48,16.0,25,3439.7,Si,Manufactura
4,Piura,Mujer,25,11.0,7,1761.23,No,Manufactura
5,Lima,Mujer,54,12.0,35,3329.64,Si,Comercio
6,Lima,Mujer,60,16.0,37,,No,Manufactura
7,Lima,Hombre,56,14.0,35,3437.37,Si,Construccion
8,Ica,Hombre,43,16.0,20,3221.98,No,Construccion
9,lima,Mujer,48,16.0,25,3007.82,Si,Comercio
10,Junin,Hombre,50,12.0,31,3296.33,No,Manufactura
11,Lima,Mujer,54,11.0,36,2556.99,Si,Manufactura
12,Loreto,Mujer,52,16.0,29,3391.83,No,Manufactura
13,Ancash,Mujer,40,,22,4262.1,Si,Transporte
14,Lima,Mujer,51,14.0,30,2740.05,Si,Servicios
15,Lima,Hombre,42,18.0,17,3499.3,No,Transporte
16,Lima,Mujer,52,14.0,31,3283.99,Si,Servicios
17,Arequipa,Hombre,22,12.0,3,2109.26,No,Manufactura
18,Piura,Hombre,37,16.0,14,3582.71,No,Manufactura
19,La Libertad,Mujer,44,14.0,23,3910.0,Si,Transporte
20,Arequipa,Hombre,50,14.0,29,3538.59,No,Transporte
21,Piura,Hombre,22,18.0,0,3164.5,Si,Servicios
22,Lima,Mujer,59,12.0,40,3815.23,No,Construccion
23,Arequipa,Hombre,130,18.0,18,3238.79,Si,Servicios
24,Cusco,Mujer,51,18.0,26,3497.92,Si,Transporte
25,La Libertad,Mujer,41,12.0,22,2765.78,No,Transporte
26,Puno,Mujer,42,11.0,24,2623.83,No,Comercio
27,Lima,Hombre,21,11.0,3,2919.77,Si,Transporte
28,La Libertad,Hombre,46,11.0,28,3507.46,No,Comercio
29,Piura,Mujer,21,11.0,3,2466.22,Si,Construccion
30,Lima,Mujer,45,16.0,22,3710.58,Si,Servicios
31,Piura,Hombre,36,11.0,18,2857.87,Si,Servicios
32,Lima,Mujer,59,12.0,40,3434.75,Si,Comercio
33,Lima,Mujer,52,16.0,29,3578.03,Si,Servicios
34,Loreto,Hombre,28,11.0,10,2791.42,Si,Transporte
35,Loreto,Hombre,58,16.0,35,3698.32,No,Manufactura
36,Ancash,Mujer,48,12.0,29,3217.06,No,Comercio
37,Arequipa,Hombre,45,11.0,27,1796.5,No,Servicios
38,Lima,Hombre,54,16.0,31,4069.7,Si,Comercio
39,Junin,Mujer,44,16.0,21,3523.76,Si,Comercio
40,Lima ,Hombre,43,16.0,20,3786.43,No,Manufactura
41,Lima,Mujer,32,16.0,9,2812.79,No,Transporte
42,La Libertad,Hombre,26,16.0,3,3935.62,Si,Comercio
43,Lima,Hombre,55,12.0,36,2625.21,No,Servicios
44,Ica,Hombre,39,12.0,20,1836.35,No,Construccion
45,Arequipa,Mujer,20,16.0,0,,No,Comercio
46,Junin,Hombre,27,16.0,4,2558.0,No,Comercio
47,Arequipa,Mujer,35,18.0,10,2953.89,Si,Manufactura
48,Piura,Mujer,33,14.0,12,3207.62,Si,Transporte
49,Piura,Mujer,31,12.0,12,2382.77,No,Construccion
50,Lima,Hombre,42,16.0,19,3713.75,No,Servicios
51,Loreto,Hombre,34,12.0,15,3595.33,Si,Construccion
52,Puno,Mujer,47,18.0,22,3962.43,Si,Servicios
53,Loreto,Hombre,53,16.0,30,3506.83,Si,Transporte
54,Ica,Mujer,21,14.0,0,2469.12,No,Servicios
55,Piura,Hombre,51,16.0,28,3520.74,No,Manufactura
56,Ica,Mujer,42,16.0,19,3869.37,Si,Manufactura
57,Lima,Hombre,41,11.0,23,2808.49,Si,Manufactura
58,Lima,Mujer,44,18.0,19,-150.0,Si,Manufactura
59,Lima,Hombre,41,14.0,20,3329.22,No,Construccion
60,Cusco,Mujer,41,16.0,18,3706.7,No,Transporte
61,Cusco,Mujer,25,12.0,6,2743.26,No,Servicios
62,Arequipa,Mujer,34,16.0,11,3470.27,Si,Servicios
