region,anio,pobreza_pct,inversion_publica_pc,ingreso_pc
Lima,2022,27.6,1083.8,1531.9
Lima,2023,27.6,1111.1,1629.6
Lima,2024,25.5,1423.9,1753.6
Lima,2025,25.1,1471.4,2004.9
Arequipa,2022,19.3,1487.2,1676.0
Arequipa,2023,20.8,1490.0,1909.0
Arequipa,2024,19.1,1654.9,1903.7
Arequipa,2025,18.6,1870.1,2145.6
Cusco,2022,32.9,1624.7,1482.6
Cusco,2023,31.7,1709.6,1481.6
Cusco,2024,31.3,1951.9,1586.0
Cusco,2025,27.6,2119.7,1880.0
La Libertad,2022,34.3,1161.9,1502.3
La Libertad,2023,33.7,1333.0,1527.7
La Libertad,2024,30.9,1423.5,1708.0
La Libertad,2025,29.9,1391.0,1731.8
Piura,2022,33.4,1222.0,1504.0
Piura,2023,30.4,1358.8,1534.6
Piura,2024,31.3,1355.6,1692.4
Piura,2025,29.7,1378.1,1899.5
Junin,2022,38.1,1534.5,1389.6
Junin,2023,37.8,1638.2,1471.9
Junin,2024,37.0,1672.6,1684.1
Junin,2025,34.9,1940.5,1664.4
Puno,2022,45.5,1794.8,1322.2
Puno,2023,44.5,2003.4,1439.4
Puno,2024,43.8,2088.0,1489.2
Puno,2025,40.6,2391.0,1802.8
Ancash,2022,32.6,1415.7,1431.8
Ancash,2023,32.8,1416.1,1478.8
Ancash,2024,31.5,1674.3,1732.6
Ancash,2025,31.5,1722.2,1965.8
Ica,2022,18.1,1263.8,1868.9
Ica,2023,15.4,1523.9,2004.8
Ica,2024,15.3,1447.2,2058.1
Ica,2025,14.2,1671.7,2340.2
Loreto,2022,42.3,1621.4,1380.6
Loreto,2023,40.5,1875.2,1454.6
Loreto,2024,41.8,1852.7,1759.2
Loreto,2025,39.6,2108.9,1724.0
